Strategy,beta,SLA_Breach_Pct,Waste,Deficit
B3 (Fixed Mean Cal),0.5,22.686468646864686,0.051372436330265316,0.01452948888045658
B4a (U1 Calibrated),0.5,23.603960396039604,0.055696523104528495,0.014629618377366288
B4b (U2 Calibrated),0.5,23.66336633663366,0.05161063180225894,0.01441176936519759
B4c (U3 Calibrated),0.5,24.55115511551155,0.05187405457426263,0.014862007541449685
P (Proposed Calibrated U*),0.5,24.141914191419144,0.052794633828440414,0.014718777663969656
P_raw (Uncalibrated U*),0.5,18.95049504950495,0.06995303592063251,0.012021177974357065
B3 (Fixed Mean Cal),0.75,16.861386138613863,0.06217890495933708,0.011509516865790104
B4a (U1 Calibrated),0.75,18.933993399339936,0.06919464142298824,0.012200170250878948
B4b (U2 Calibrated),0.75,17.735973597359735,0.06262566539795814,0.011430470805798655
B4c (U3 Calibrated),0.75,19.633663366336634,0.0631033399432396,0.012185541399193603
P (Proposed Calibrated U*),0.75,19.092409240924095,0.06461062046029253,0.012106360628523202
P_raw (Uncalibrated U*),0.75,14.277227722772276,0.09133074191879427,0.009480777687522469
B3 (Fixed Mean Cal),1.0,12.3993399339934,0.07376228923371289,0.009266460496427664
B4a (U1 Calibrated),1.0,15.798679867986799,0.08334459457713332,0.010478373076068439
B4b (U2 Calibrated),1.0,13.501650165016502,0.07444592339440412,0.00927406241322865
B4c (U3 Calibrated),1.0,15.65016501650165,0.07496796201854908,0.010199207485687194
P (Proposed Calibrated U*),1.0,15.42904290429043,0.07710562590512357,0.010228505317393988
P_raw (Uncalibrated U*),1.0,11.194719471947195,0.11291387307541945,0.007758507034675299
B3 (Fixed Mean Cal),1.25,9.198019801980198,0.08593925171650668,0.0076169823354832
B4a (U1 Calibrated),1.25,13.485148514851486,0.09780376347062118,0.009182356216410443
B4b (U2 Calibrated),1.25,10.224422442244224,0.08679071438387834,0.007686188945406666
B4c (U3 Calibrated),1.25,12.706270627062707,0.08722443005249685,0.00869129028178739
P (Proposed Calibrated U*),1.25,12.716171617161717,0.08995317925614857,0.008810694734766937
P_raw (Uncalibrated U*),1.25,8.957095709570957,0.13419730540931746,0.006499065378221392
B3 (Fixed Mean Cal),1.5,7.0528052805280534,0.09853771446013289,0.006389004435371177
B4a (U1 Calibrated),1.5,11.87128712871287,0.11240003264320862,0.008177251366029554
B4b (U2 Calibrated),1.5,8.003300330033003,0.09946717101926528,0.00650757159649625
B4c (U3 Calibrated),1.5,10.561056105610561,0.09968933713359208,0.007515013978141041
P (Proposed Calibrated U*),1.5,10.801980198019802,0.10297224037338105,0.00771364829120242
P_raw (Uncalibrated U*),1.5,7.38943894389439,0.15479830647410864,0.005538515994273042
B3 (Fixed Mean Cal),2.0,4.462046204620462,0.12450678608375826,0.004705194771520031
B4a (U1 Calibrated),2.0,9.6996699669967,0.14152821256519435,0.006691189214480368
B4b (U2 Calibrated),2.0,5.264026402640265,0.1252563894817407,0.004882903746429883
B4c (U3 Calibrated),2.0,7.435643564356435,0.1247456518257459,0.0058071413800813345
P (Proposed Calibrated U*),2.0,8.026402640264028,0.12905863892738767,0.006133864387487967
P_raw (Uncalibrated U*),2.0,5.145214521452146,0.19311299121033246,0.0041996349019984315
B3 (Fixed Mean Cal),2.5,3.3036303630363038,0.15104618462040126,0.0035917120206865718
B4a (U1 Calibrated),2.5,7.957095709570957,0.17025199459987897,0.005625144932430832
B4b (U2 Calibrated),2.5,3.6699669966996704,0.1511441892972524,0.003807937893736575
B4c (U3 Calibrated),2.5,5.425742574257426,0.14941873314719145,0.004649109334433515
P (Proposed Calibrated U*),2.5,6.326732673267327,0.1547565502487745,0.005058180963206723
P_raw (Uncalibrated U*),2.5,3.9075907590759074,0.22719095262811326,0.0033424383263913823
B3 (Fixed Mean Cal),3.0,2.6765676567656764,0.1778499678145131,0.0027428263490752672
B4a (U1 Calibrated),3.0,6.844884488448845,0.19813597979501807,0.004848560278937212
B4b (U2 Calibrated),3.0,2.7722772277227725,0.17672914761228709,0.003050494879967748
B4c (U3 Calibrated),3.0,4.201320132013201,0.17324177142519995,0.0038300581314923334
P (Proposed Calibrated U*),3.0,5.201320132013201,0.17962586066463793,0.00428064716890286
P_raw (Uncalibrated U*),3.0,3.1056105610561056,0.2575090621223194,0.002746974073726301
